time,Id_Smart_Capteur,Humidite,Pression,PM10,PM2.5,Temperature
2021-12-08 15:13:25,Arg12b1f,37.36719,954.4344,6.2,2.0,19.13
2021-12-08 15:18:27,Arg12b1f,29.5957,954.4305,6.8,2.2,22.38
2021-12-08 15:23:24,Arg12b1f,27.83105,954.3577,5.0,2.4,23.52
2021-12-08 15:27:35,Arg12b2f,33.38086,955.0228,9.9,2.3,20.5
2021-12-08 16:22:46,Arg12b2f,72.25,956.4506,2.0,1.6,11.9
2021-12-08 16:22:46,Arg12b1f,47.22754,955.652,2.3,1.2,12.33
2021-12-08 16:27:52,Arg12b1f,45.81738,955.5745,0.6,0.6,12.75
2021-12-08 16:27:53,Arg12b2f,66.5625,956.4106,1.4,1.2,12.17
2021-12-08 16:32:57,Arg12b2f,61.58398,956.5184,2.1,1.4,12.26
2021-12-08 16:32:57,Arg12b1f,44.23633,955.7026,0.8,0.8,12.96
2021-12-08 16:38:02,Arg12b1f,46.08008,955.8685,0.8,0.8,12.73
2021-12-08 16:38:03,Arg12b2f,59.29492,956.6547,1.4,1.3,11.97
2021-12-08 16:43:07,Arg12b2f,57.51563,956.671,2.2,1.9,11.56
2021-12-08 16:43:07,Arg12b1f,46.80957,955.9037,1.3,1.2,12.27
2021-12-08 16:48:12,Arg12b2f,56.63379,956.7333,1.4,1.3,11.45
2021-12-08 16:48:12,Arg12b1f,48.02148,955.9886,0.8,0.8,12.01
2021-12-08 16:53:17,Arg12b1f,48.89648,955.9469,1.5,1.3,11.92
2021-12-08 16:53:18,Arg12b2f,55.99902,956.7473,1.6,1.5,11.4
2021-12-08 16:58:22,Arg12b2f,55.48828,956.7314,12.2,7.0,11.37
2021-12-08 16:58:23,Arg12b1f,49.13867,955.9469,8.7,4.3,11.82
2021-12-08 17:03:28,Arg12b2f,55.31543,956.7095,3.6,2.4,11.35
2021-12-08 17:03:28,Arg12b1f,49.73633,955.9822,2.9,1.6,11.76
2021-12-08 17:08:32,Arg12b2f,55.29297,956.6722,2.0,1.8,11.32
2021-12-08 17:08:33,Arg12b1f,50.52051,955.9186,0.9,0.9,11.73
2021-12-08 17:13:37,Arg12b2f,54.7002,956.762,2.9,2.3,11.32
2021-12-08 17:13:38,Arg12b1f,49.82715,955.9925,2.1,1.7,11.71
2021-12-08 17:18:42,Arg12b2f,55.23242,956.8056,4.9,3.1,11.3
2021-12-08 17:18:42,Arg12b1f,50.9873,956.0289,2.6,1.6,11.65
2021-12-08 17:23:47,Arg12b1f,51.17578,955.9814,3.2,2.0,11.67
2021-12-08 17:23:47,Arg12b2f,55.00098,956.7222,4.9,2.9,11.35
2021-12-08 17:28:51,Arg12b2f,54.64551,956.7695,3.9,2.6,11.41
2021-12-08 17:28:52,Arg12b1f,51.86035,956.0447,2.2,1.7,11.79
2021-12-08 17:33:56,Arg12b2f,54.93848,956.8155,2.8,2.2,11.32
2021-12-08 17:33:57,Arg12b1f,52.33203,956.0862,1.6,1.3,11.66
2021-12-08 17:39:00,Arg12b2f,54.61914,956.7352,4.3,2.7,11.19
2021-12-08 17:39:02,Arg12b1f,51.8916,956.0281,2.5,2.1,11.56
2021-12-08 17:44:06,Arg12b2f,54.83105,956.8166,5.8,4.0,11.22
2021-12-08 17:44:07,Arg12b1f,52.10449,956.1436,3.3,2.4,11.55
2021-12-08 17:49:11,Arg12b2f,54.76758,957.019,3.8,3.0,11.32
2021-12-08 17:49:11,Arg12b1f,52.18555,956.3351,2.3,2.0,11.66
2021-12-08 17:54:16,Arg12b2f,54.66309,957.0895,5.0,3.6,11.48
2021-12-08 17:54:16,Arg12b1f,52.40918,956.4498,2.5,2.0,11.82
2021-12-08 17:59:22,Arg12b2f,54.51074,957.1387,5.4,4.6,11.54
2021-12-08 17:59:22,Arg12b1f,52.44434,956.4347,3.3,2.6,11.87
2021-12-08 18:04:26,Arg12b2f,54.40137,957.0536,5.7,4.8,11.52
2021-12-08 18:04:26,Arg12b1f,52.55762,956.3406,3.6,2.9,11.83
2021-12-08 18:09:31,Arg12b2f,54.12012,957.1145,6.6,5.0,11.48
2021-12-08 18:09:31,Arg12b1f,52.45996,956.4411,4.9,3.7,11.84
2021-12-08 18:14:36,Arg12b2f,54.14844,957.2979,17.6,13.3,11.47
2021-12-08 18:14:36,Arg12b1f,52.30762,956.5474,11.7,9.6,11.79
2021-12-08 18:19:42,Arg12b1f,52.59375,956.6403,6.7,4.8,11.9
2021-12-08 18:19:42,Arg12b2f,54.36035,957.3858,8.6,6.7,11.49
2021-12-08 18:24:46,Arg12b2f,54.22461,957.3519,7.0,5.0,11.47
2021-12-08 18:24:46,Arg12b1f,52.64453,956.6588,4.1,3.5,11.84
2021-12-08 18:29:51,Arg12b2f,54.17676,957.4749,6.9,4.9,11.47
2021-12-08 18:29:54,Arg12b1f,52.67188,956.7795,5.2,3.6,11.81
2021-12-08 18:34:56,Arg12b2f,54.4248,957.4428,5.5,4.0,11.48
2021-12-08 18:34:56,Arg12b1f,52.98633,956.7244,4.0,2.7,11.85
2021-12-08 18:40:01,Arg12b2f,53.90234,957.3894,12.2,9.1,11.41
2021-12-08 18:40:01,Arg12b1f,52.12793,956.6519,10.7,8.6,11.74
2021-12-08 18:45:07,Arg12b1f,52.01953,956.6458,8.9,7.7,11.66
2021-12-08 18:45:08,Arg12b2f,53.69922,957.3732,7.6,6.1,11.31
2021-12-08 18:50:11,Arg12b1f,52.43457,956.6231,9.6,7.8,11.64
2021-12-08 18:50:11,Arg12b2f,54.02246,957.3677,8.7,7.3,11.3
2021-12-08 18:55:15,Arg12b2f,53.98047,957.4534,14.4,11.4,11.27
2021-12-08 18:55:16,Arg12b1f,52.55371,956.7762,10.8,9.2,11.65
2021-12-08 19:00:20,Arg12b1f,53.10352,956.7451,4.3,3.3,11.7
2021-12-08 19:00:20,Arg12b2f,54.24316,957.4984,5.5,4.3,11.31
2021-12-08 19:05:24,Arg12b2f,54.09766,957.7349,6.8,5.1,11.15
2021-12-08 19:05:26,Arg12b1f,52.46484,957.0248,7.0,5.3,11.72
2021-12-08 19:10:30,Arg12b2f,54.30078,957.9747,6.2,4.2,11.09
2021-12-08 19:10:30,Arg12b1f,53.6084,957.1688,3.9,3.0,11.53
2021-12-08 19:15:34,Arg12b2f,54.34863,958.1672,8.0,5.4,11.09
2021-12-08 19:15:34,Arg12b1f,53.0918,957.3684,6.4,4.4,11.52
2021-12-08 19:20:39,Arg12b2f,54.70508,958.2026,7.1,4.8,11.19
2021-12-08 19:20:40,Arg12b1f,53.23535,957.4299,4.2,3.1,11.58
2021-12-08 19:25:43,Arg12b2f,54.58301,958.2734,15.4,11.6,11.29
2021-12-08 19:25:45,Arg12b1f,53.16699,957.5341,12.6,9.3,11.66
2021-12-08 19:30:48,Arg12b2f,54.49609,958.132,11.5,8.9,11.28
2021-12-08 19:30:49,Arg12b1f,53.17871,957.3953,8.7,6.9,11.67
2021-12-08 19:35:53,Arg12b2f,54.59082,958.1058,19.2,13.8,11.19
2021-12-08 19:35:54,Arg12b1f,53.50293,957.3544,9.6,7.3,11.61
2021-12-08 19:40:58,Arg12b1f,53.93262,957.4459,5.8,4.2,11.72
2021-12-08 19:40:58,Arg12b2f,55.04785,958.1891,8.8,7.0,11.27
2021-12-08 19:46:03,Arg12b1f,53.81152,957.6716,5.5,4.3,11.85
2021-12-08 19:46:03,Arg12b2f,54.91406,958.3801,9.6,7.4,11.42
2021-12-08 19:51:07,Arg12b1f,53.42188,957.7712,7.6,6.1,11.91
2021-12-08 19:51:07,Arg12b2f,54.51465,958.4995,13.4,10.2,11.51
2021-12-08 19:56:12,Arg12b2f,53.90625,958.6625,5.1,4.0,11.43
2021-12-08 19:56:13,Arg12b1f,52.60352,957.9342,4.3,3.2,11.82
2021-12-08 20:01:16,Arg12b2f,53.44238,958.6497,5.3,4.2,11.23
2021-12-08 20:01:18,Arg12b1f,52.11426,957.9498,4.8,3.2,11.63
2021-12-08 20:06:20,Arg12b2f,54.05859,958.5642,6.1,4.5,11.13
2021-12-08 20:06:23,Arg12b1f,52.82227,957.8697,4.0,3.0,11.54
2021-12-08 20:11:25,Arg12b2f,54.35547,958.5654,6.9,5.3,11.07
2021-12-08 20:11:28,Arg12b1f,53.41992,957.8342,5.4,3.9,11.5
2021-12-08 20:16:30,Arg12b2f,54.63184,958.6191,6.3,4.9,11.15
2021-12-08 20:16:33,Arg12b1f,53.65332,957.981,3.6,2.9,11.58
2021-12-08 20:21:35,Arg12b2f,54.32031,958.7244,6.8,5.4,11.32
2021-12-08 20:21:37,Arg12b1f,53.11426,958.022,4.5,3.6,11.71
2021-12-08 20:26:40,Arg12b2f,53.89844,958.7051,6.0,4.5,11.22
2021-12-08 20:26:42,Arg12b1f,52.79102,957.99,4.0,3.4,11.6
2021-12-08 20:31:45,Arg12b2f,54.31055,958.9216,6.7,4.7,11.17
2021-12-08 20:31:47,Arg12b1f,53.39844,958.2153,5.3,3.4,11.56
2021-12-08 20:36:49,Arg12b2f,54.64063,959.0042,3.6,2.9,11.22
2021-12-08 20:36:51,Arg12b1f,53.69531,958.252,3.1,2.2,11.6
2021-12-08 20:41:55,Arg12b2f,54.87988,958.9758,4.6,3.9,11.31
2021-12-08 20:41:56,Arg12b1f,54.06641,958.2787,2.9,2.3,11.69
2021-12-08 20:47:00,Arg12b2f,54.47559,958.949,3.3,2.8,11.34
2021-12-08 20:47:01,Arg12b1f,53.59082,958.2167,2.1,1.9,11.7
2021-12-08 20:52:05,Arg12b2f,54.16016,959.1461,5.0,4.0,11.26
2021-12-08 20:52:06,Arg12b1f,53.89551,958.4102,4.7,4.1,11.65
2021-12-08 20:57:10,Arg12b1f,54.52051,958.6986,6.7,5.6,11.6
2021-12-08 20:57:10,Arg12b2f,54.89551,959.4303,6.0,5.1,11.2
2021-12-08 21:02:14,Arg12b2f,54.65918,959.4389,10.0,6.8,10.98
2021-12-08 21:02:15,Arg12b1f,53.94531,958.7083,8.7,6.4,11.43
2021-12-08 21:07:19,Arg12b2f,54.21484,959.4456,7.5,4.9,10.78
2021-12-08 21:07:20,Arg12b1f,53.5791,958.7539,4.4,3.4,11.21
2021-12-08 21:12:23,Arg12b2f,53.48828,959.7254,6.3,4.2,10.52
2021-12-08 21:12:25,Arg12b1f,52.43359,959.0042,3.0,2.6,10.97
2021-12-08 21:17:27,Arg12b2f,53.17285,960.0592,5.4,3.7,10.21
2021-12-08 21:17:31,Arg12b1f,51.82813,959.2489,2.8,2.2,10.7
2021-12-08 21:22:32,Arg12b2f,53.26855,959.9422,4.1,3.4,9.97
2021-12-08 21:22:36,Arg12b1f,51.78516,959.1403,3.2,2.5,10.41
2021-12-08 21:27:36,Arg12b2f,53.18848,959.9684,8.3,6.7,9.7
2021-12-08 21:27:40,Arg12b1f,51.93457,959.2099,5.3,4.5,10.2
2021-12-08 21:32:40,Arg12b2f,53.71484,960.1174,4.9,4.0,9.51
2021-12-08 21:32:45,Arg12b1f,52.24512,959.332,2.4,2.2,10.05
2021-12-08 21:37:45,Arg12b2f,54.13184,960.0171,5.6,4.2,9.42
2021-12-08 21:37:48,Arg12b1f,52.3418,959.2551,3.0,2.1,9.97
2021-12-08 21:42:49,Arg12b2f,54.23926,960.0403,4.7,3.7,9.37
